Title	Date	Year	Rank	Weekend Gross	Gross-to-Date	Week # of release
Incredibles 2	Jun. 14–17	2018	1	$7,898,856	$7,898,856	1
Incredibles 2	Jun. 21–24	2018	2	$4,868,158	$14,708,509	2
Incredibles 2	Jun. 28–Jul. 1	2018	2	$3,253,530	$19,313,351	3
Incredibles 2	Jul. 5–8	2018	2	$2,940,132	$24,578,641	4
Incredibles 2	Jul. 12–15	2018	2	$2,586,378	$29,501,312	5
Incredibles 2	Jul. 19–22	2018	4	$1,300,515	$31,880,447	6
Incredibles 2	Jul. 26–29	2018	6	$514,766	$32,603,809	7
Incredibles 2	Aug. 2–5	2018	7	$303,972	$33,016,443	8
Incredibles 2	Aug. 9–12	2018	7	$223,766	$32,913,333	9
Incredibles 2	Aug. 16–19	2018	11	$141,014	$33,096,316	10
Incredibles 2	Aug. 23–26	2018	14	$91,511	$33,266,863	11
Incredibles 2	Aug. 30–Sept. 2	2018	15	$82,751	$32,751,225	12
Incredibles 2	Sept. 13–16	2018	29	$13,870	$33,812,798	14
Incredibles 2	Sept. 27–30	2018	39	$4,021	$33,820,015	16
Incredibles 2	Oct. 4–7	2018	43	$381	$33,827,906	17
Incredibles 2	Oct. 11–14	2018	43	$295	$33,828,512	18
Incredibles 2	Oct. 25–28	2018	43	$510	$33,829,034	20
Incredibles 2	Nov. 8–11	2018	48	$199	$33,829,834	22
Incredibles 2	Nov. 29–Dec. 2	2018	43	$408	$33,830,242	25
Incredibles 2	Dec. 13–16	2018	34	$3,892	$33,834,134	27
Incredibles 2	Feb. 14–17	2019	47	$80	$33,838,054	36
Incredibles 2	Feb. 21–24	2019	49	$86	$33,838,139	37
Beauty and the Beast	Mar. 23–26	2017	-	$10,014,389	$11,371,527	1
Beauty and the Beast	Mar. 30–Apr. 2	2017	-	$5,915,935	$19,969,620	2
Beauty and the Beast	Apr. 6–9	2017	-	$3,725,817	$26,097,273	3
Beauty and the Beast	Apr. 13–16	2017	-	$2,286,384	$30,651,053	4
Beauty and the Beast	Apr. 20–23	2017	-	$1,610,625	$33,760,557	5
Beauty and the Beast	Apr. 27–30	2017	4	$640,539	$35,130,784	6
Beauty and the Beast	May 4–7	2017	7	$331,902	$34,908,358	7
Beauty and the Beast	May 11–14	2017	9	$229,877	$35,097,835	8
Beauty and the Beast	May 18–21	2017	13	$91,412	$35,573,006	9
Beauty and the Beast	Jun. 1–4	2017	19	$27,420	$35,617,178	11
Beauty and the Beast	Jun. 8–11	2017	24	$19,071	$36,282,458	12
Beauty and the Beast	Jun. 15–18	2017	14	$1,322	$36,294,979	13
Beauty and the Beast	Sept. 7–10	2017	41	$1,575	$36,307,966	25
Beauty and the Beast	Sept. 14–17	2017	49	$1,039	$36,309,005	26
The Greatest Showman	Dec. 28–31	2017	3	$3,294,859	$5,319,889	1
The Greatest Showman	Jan. 4–7	2018	4	$2,319,312	$9,644,446	2
The Greatest Showman	Jan. 11–14	2018	3	$2,018,203	$13,108,739	3
The Greatest Showman	Jan. 18–21	2018	3	$1,639,222	$16,241,206	4
The Greatest Showman	Jan. 25–28	2018	4	$1,710,187	$19,295,863	5
The Greatest Showman	Feb. 1–4	2018	1	$1,268,176	$20,846,774	6
The Greatest Showman	Feb. 8–11	2018	2	$908,203	$21,842,155	7
The Greatest Showman	Feb. 15–18	2018	4	$743,808	$23,253,435	8
The Greatest Showman	Feb. 22–25	2018	5	$774,893	$24,093,373	9
The Greatest Showman	Mar. 1–4	2018	5	$523,185	$24,513,841	10
The Greatest Showman	Mar. 8–11	2018	6	$438,074	$25,360,358	11
The Greatest Showman	Mar. 15–18	2018	8	$276,506	$25,371,529	12
The Greatest Showman	Mar. 22–25	2018	9	$175,885	$25,582,373	13
The Greatest Showman	Mar. 29–Apr. 1	2018	14	$116,650	$25,717,688	14
The Greatest Showman	Apr. 5–8	2018	14	$96,221	$25,879,831	15
The Greatest Showman	Apr. 12–15	2018	17	$101,838	$26,344,069	16
